Iteration,ExecutionTime
0,7.845800000000347e-05
1,3.416699999997386e-05
2,2.6959000000048583e-05
3,2.3167000000046123e-05
4,2.0874999999975774e-05
5,2.041700000005031e-05
6,2.0249999999999435e-05
7,1.9749999999985057e-05
8,1.9375000000043663e-05
9,1.9624999999967585e-05
10,2.5957999999992598e-05
11,2.4167000000019367e-05
12,2.270800000003792e-05
13,1.945899999999945e-05
14,1.9165999999959382e-05
15,1.9374999999988152e-05
16,1.9832999999969125e-05
17,1.933300000001026e-05
18,1.9625000000023096e-05
19,1.924999999997068e-05
20,2.504200000003065e-05
21,2.262499999999834e-05
22,2.462500000000034e-05
23,1.9209000000020016e-05
24,1.9167000000042123e-05
25,1.904200000002465e-05
26,1.9500000000005624e-05
27,1.87499999999563e-05
28,1.8957999999957842e-05
29,1.891599999997995e-05
30,2.4583000000022448e-05
31,2.2375000000018908e-05
32,2.3708000000011165e-05
33,1.8457999999998975e-05
34,1.8875000000029285e-05
35,1.8458999999970693e-05
36,1.8999999999991246e-05
37,1.8124999999979963e-05
38,1.8666000000000516e-05
39,1.8167000000013367e-05
40,2.2583999999992166e-05
41,2.291700000001118e-05
42,2.2458000000002976e-05
43,1.7500000000003624e-05
44,1.737499999998615e-05
45,1.7207999999990786e-05
46,1.725000000002419e-05
47,1.725000000002419e-05
48,1.724999999996868e-05
49,1.683400000002111e-05
50,2.2124999999983963e-05
51,2.2124999999983963e-05
52,2.1582999999991692e-05
53,1.7082999999973314e-05
54,1.737499999998615e-05
55,1.691599999997795e-05
56,1.6999999999989246e-05
57,1.6874999999971774e-05
58,1.7208000000046297e-05
59,1.6958000000011353e-05
60,2.2166999999961856e-05
61,2.0583999999990166e-05
62,2.1749999999987057e-05
63,1.8375000000014907e-05
64,1.7290999999974854e-05
65,1.7208999999962504e-05
66,1.716699999998461e-05
67,1.7125000000006718e-05
68,1.7083000000028825e-05
69,1.6750000000009813e-05
70,2.2083999999977788e-05
71,2.1959000000015827e-05
72,2.1916999999982423e-05
73,1.7166000000012893e-05
74,1.7083000000028825e-05
75,1.6999999999989246e-05
76,1.7125000000006718e-05
77,1.704200000002265e-05
78,1.7125000000006718e-05
79,1.6791999999987706e-05
80,2.2000000000022002e-05
81,2.0458000000000975e-05
82,2.2000000000022002e-05
83,1.7541999999981517e-05
84,1.704200000002265e-05
85,1.695899999998307e-05
86,1.704199999996714e-05
87,1.6999999999989246e-05
88,1.7124999999951207e-05
89,1.7082999999973314e-05
90,2.195800000004411e-05
91,2.166700000000299e-05
92,2.1917000000037934e-05
93,1.7124999999951207e-05
94,1.737499999998615e-05
95,1.6958000000011353e-05
96,1.7125000000006718e-05
97,1.7083000000028825e-05
98,1.7083000000028825e-05
99,1.7000000000044757e-05
100,2.1957999999988598e-05
101,2.1959000000015827e-05
102,2.1916999999982423e-05
103,1.6917000000005178e-05
104,1.724999999996868e-05
105,1.6958000000011353e-05
106,1.704099999999542e-05
107,1.683299999999388e-05
108,1.6874999999971774e-05
109,1.6958000000011353e-05
110,2.1790999999993232e-05
111,2.187500000000453e-05
112,2.158400000001892e-05
113,1.683400000002111e-05
114,1.7124999999951207e-05
115,1.7082999999973314e-05
116,1.7125000000006718e-05
117,1.6874999999971774e-05
118,1.716699999998461e-05
119,1.704200000002265e-05
120,2.187500000000453e-05
121,2.1957999999988598e-05
122,2.2000000000022002e-05
123,1.7125000000006718e-05
124,1.6917000000005178e-05
125,1.704199999996714e-05
126,1.7083000000028825e-05
127,1.6959000000038582e-05
128,1.704099999999542e-05
129,1.6999999999989246e-05
130,2.1957999999988598e-05
131,2.199999999996649e-05
132,2.179200000002046e-05
133,1.7082999999973314e-05
134,1.7209000000018015e-05
135,1.6750000000009813e-05
136,1.6999999999989246e-05
137,1.6917000000005178e-05
138,1.695899999998307e-05
139,1.691599999997795e-05
140,2.1292000000006084e-05
141,2.1833000000026637e-05
142,2.175000000004257e-05
143,1.7708000000005164e-05
144,1.7209000000018015e-05
145,1.6792000000043217e-05
146,1.737499999998615e-05
147,1.6791999999987706e-05
148,1.7083000000028825e-05
149,1.704199999996714e-05
150,2.1832999999971126e-05
151,2.187500000000453e-05
152,2.179199999996495e-05
153,1.6999999999989246e-05
154,1.6999999999989246e-05
155,1.6999999999989246e-05
156,1.695899999998307e-05
157,1.67499999999543e-05
158,1.6958000000011353e-05
159,1.683400000002111e-05
160,2.145800000002973e-05
161,2.187500000000453e-05
162,2.1917000000037934e-05
163,1.7290999999974854e-05
164,1.7082999999973314e-05
165,1.683299999999388e-05
166,1.6959000000038582e-05
167,1.6957999999955842e-05
168,1.691600000003346e-05
169,1.6958000000011353e-05
170,2.1833000000026637e-05
171,2.1583000000047203e-05
172,2.187500000000453e-05
173,1.6958000000011353e-05
174,1.6957999999955842e-05
175,1.6874999999971774e-05
176,1.6958000000011353e-05
177,1.6999999999989246e-05
178,1.6875000000027285e-05
179,1.6875000000027285e-05
180,2.104200000002665e-05
181,2.166600000003127e-05
182,2.1957999999988598e-05
183,1.7917000000033934e-05
184,1.6958000000011353e-05
185,1.662499999999234e-05
186,1.691599999997795e-05
187,1.6750000000009813e-05
188,1.7125000000006718e-05
189,1.6917000000005178e-05
190,2.1790999999993232e-05
191,2.1708000000009164e-05
192,2.187500000000453e-05
193,1.6999999999989246e-05
194,1.6959000000038582e-05
195,1.683299999999388e-05
196,1.683299999999388e-05
197,1.6665999999998515e-05
198,1.695899999998307e-05
199,1.6709000000003638e-05
200,2.187499999994902e-05
201,2.187500000000453e-05
202,2.166700000000299e-05
203,1.6875000000027285e-05
204,1.6917000000005178e-05
205,1.695899999998307e-05
206,1.6999999999989246e-05
207,1.683299999999388e-05
208,1.683299999999388e-05
209,1.6958000000011353e-05
210,2.1708000000009164e-05
211,2.1541999999985517e-05
212,2.1625000000025096e-05
213,1.7125000000006718e-05
214,1.6916999999949667e-05
215,1.8375000000014907e-05
216,1.6999999999989246e-05
217,1.67499999999543e-05
218,1.6957999999955842e-05
219,1.6833000000049392e-05
220,2.179200000002046e-05
221,2.1709000000036394e-05
222,2.1082999999977314e-05
223,1.912500000000872e-05
224,2.1625000000025096e-05
225,1.88339999999676e-05
226,1.904099999999742e-05
227,1.87499999999563e-05
228,1.904199999996914e-05
229,1.8750000000011813e-05
230,2.1916999999982423e-05
231,2.062499999999634e-05
232,2.1416999999968045e-05
233,2.179200000002046e-05
234,2.0750000000013813e-05
235,1.8790999999962477e-05
236,1.904199999996914e-05
237,1.7207999999990786e-05
238,1.7375000000041663e-05
239,1.725000000002419e-05
240,2.2250000000001435e-05
241,1.9500000000005624e-05
242,1.9124999999953207e-05
243,1.8083999999973788e-05
244,1.745799999997022e-05
245,1.7292000000002083e-05
246,1.7291000000030365e-05
247,1.7125000000006718e-05
248,1.7333999999979977e-05
249,1.737499999998615e-05
250,2.220899999999526e-05
251,1.9500000000005624e-05
252,1.8957999999957842e-05
253,1.8666000000000516e-05
254,1.737499999998615e-05
255,1.7166000000012893e-05
256,2.0375000000016907e-05
257,2.0666000000002516e-05
258,1.9000000000046757e-05
259,1.8666000000000516e-05
260,2.187500000000453e-05
261,1.9625000000023096e-05
262,1.8958000000013353e-05
263,5.141699999999805e-05
264,3.095899999999707e-05
265,2.3290999999980855e-05
266,2.1083000000032825e-05
267,2.158400000001892e-05
268,2.512500000001472e-05
269,2.2165999999990138e-05
270,2.3500000000009624e-05
